tau,max_swirl,core_energy
2.999999999999999889e-01,1.325970935589868560e+00,7.719339996665304682e+00
2.276252950806370301e-01,1.543403240782001973e+00,6.939084948959171051e+00
1.727109165351569942e-01,1.796490028340397949e+00,6.238787275220617268e+00
1.310445777998746342e-01,2.091077909290419257e+00,5.610137141748106515e+00
9.943020230137990245e-02,2.433972220130728115e+00,5.045700535860137670e+00
7.544276379593012338e-02,2.833094234340804096e+00,4.538825695508797331e+00
5.724227123582465576e-02,3.297664153382988683e+00,4.083559664612952389e+00
4.343262960380152304e-02,3.838414104512631209e+00,3.674573865372489756e+00
3.295455043231109576e-02,4.467836065903461495e+00,3.307097701519904565e+00
2.500429755468184384e-02,5.200470446458585805e+00,2.976859315456071631e+00
1.897203536389501996e-02,6.053241986849920764e+00,2.680032719045860823e+00
1.439505049328961873e-02,7.045850741506493264e+00,2.413190603885105645e+00
1.092225872078573211e-02,8.201227173708645068e+00,2.173262213305829249e+00
8.287274547553045295e-03,9.546061877035471710e+00,1.957495726337961983e+00
6.287977714336719266e-03,1.111142216037186436e+01,1.763424664246760587e+00
4.771009275621220826e-03,1.293346974033494767e+01,1.588837883962353592e+00
3.620007980652454379e-03,1.505429612068327572e+01,1.431752770461800495e+00
2.746684615967585202e-03,1.752289495698398980e+01,1.290391282620933389e+00
2.084049654010227196e-03,2.039629386933831157e+01,1.163158544813842177e+00
1.581274724855925851e-03,2.374087184940886530e+01,1.048623710126597608e+00
1.199793752829611581e-03,2.763389269544498461e+01,9.455028509339439280e-01
9.103446900791495279e-04,3.216528989951086714e+01,8.526436591762897033e-01
6.907249290145253380e-04,3.743974421997087632e+01,7.690117623358999621e-01
5.240882192882783189e-04,4.357910193367074214e+01,6.936784821712631555e-01
3.976524518792667732e-04,5.072518963236546341e+01,6.258098820160575837e-01
3.017191889951899297e-04,5.904309058859792003e+01,5.646569651405427548e-01
2.289297314217350035e-04,6.872495837904389759e+01,5.095469015364224585e-01
1.737006588920115017e-04,7.999445586463725988e+01,4.598751737236081438e-01
1.317955457866507181e-04,9.311192207328805637e+01,4.150985439686143419e-01
1.000000000000000048e-04,1.083803863464348893e+02,3.747287558092423088e-01
